Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
s178-body-stocking,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S178BLK_2.jpg,2,S178 Body Stocking - Back View,,,,,,,,,,,,,,,,,,,,
s178-body-stocking,,,,,,,,,Burgundy,,One Size,,,MS-S178BUR1SZ,,shopify,415,deny,manual,22.99,,TRUE,TRUE,671241127971.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S178BUR_1.jpg,g,,6.95,,,,,,,
s178-body-stocking,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S178BUR_2.jpg,2,S178 Body Stocking - Back View,,,,,,,,,,,,,,,,,,,,
s178-body-stocking,,,,,,,,,Purple,,One Size,,,MS-S178PPL1SZ,,shopify,359,deny,manual,22.99,,TRUE,TRUE,671241127988.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S178PPL_1.jpg,g,,6.95,,,,,,,
s178-body-stocking,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S178PPL_2.jpg,2,S178 Body Stocking - Back View,,,,,,,,,,,,,,,,,,,,
s179-halter-body-stocking,S179 Halter Body Stocking,"<p>From the Seamless collection by Magic Silk, this style includes: a soft and breathable halter body stocking, adorned with clear rhinestones, a heart shaped rhinestone at center front , cutout details, and lace accent on the legs. This stretchy style can conform to any body type and is extremely flattering!</p>",Magic Silk,Apparel & Accessories > Clothing > Lingerie,Lingerie,Lingerie,TRUE,Color,Black w/ Rhinestones,Size,One Size,,,MS-S179BLK1SZ,,shopify,222,deny,manual,30.99,,TRUE,TRUE,671241127995.0,https://www.magicsilk.com/uploads/wholesale-images/S179BLK_1.jpg,1,S179 Halter Body Stocking,FALSE,S179 Halter Body Stocking,"From the Seamless collection by Magic Silk, this style includes: a soft and breathable halter body stocking, adorned with clear rhinestones, a heart shaped rhinestone at center front , cutout details, and lace accent on the legs. This stretchy style can conform to any body type and is extremely flattering!",Apparel & Accessories > Clothing > Lingerie,,,671241127995.0,new,TRUE,https://www.magicsilk.com/uploads/wholesale-images/S179BLK_1.jpg,g,,11.95,TRUE,,,TRUE,,,active
s179-halter-body-stocking,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S179BLK_2.jpg,2,S179 Halter Body Stocking - Back View,,,,,,,,,,,,,,,,,,,,
s179-halter-body-stocking,,,,,,,,,Burgundy,,One Size,,,MS-S179BUR1SZ,,shopify,474,deny,manual,27.99,,TRUE,TRUE,671241128008.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S179BUR_1.jpg,g,,9.95,,,,,,,
s179-halter-body-stocking,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S179BUR_2.jpg,2,S179 Halter Body Stocking - Back View,,,,,,,,,,,,,,,,,,,,
s179-halter-body-stocking,,,,,,,,,Purple,,One Size,,,MS-S179PPL1SZ,,shopify,330,deny,manual,27.99,,TRUE,TRUE,671241128015.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S179PPL_1.jpg,g,,9.95,,,,,,,
s179-halter-body-stocking,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S179PPL_2.jpg,2,S179 Halter Body Stocking - Back View,,,,,,,,,,,,,,,,,,,,
s180-gown,S180 Gown,"<p>From the Seamless collection by Magic Silk, this style includes: a soft and breathable long gown, with front cutouts, and prominent fishnet accent on the sides. This stretchy style can conform to any body type and is extremely flattering!</p>",Magic Silk,Apparel & Accessories > Clothing > Lingerie,Lingerie,Lingerie,TRUE,Color,Neon Lime,Size,One Size,,,MS-S180LIM1SZ,,shopify,344,deny,manual,27.99,,TRUE,TRUE,671241128022.0,https://www.magicsilk.com/uploads/wholesale-images/S180LIM_1.jpg,1,S180 Gown,FALSE,S180 Gown,"From the Seamless collection by Magic Silk, this style includes: a soft and breathable long gown, with front cutouts, and prominent fishnet accent on the sides. This stretchy style can conform to any body type and is extremely flattering!",Apparel & Accessories > Clothing > Lingerie,,,671241128022.0,new,TRUE,https://www.magicsilk.com/uploads/wholesale-images/S180LIM_1.jpg,g,,9.95,TRUE,,,TRUE,,,active
s180-gown,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S180LIM_2.jpg,2,S180 Gown - Back View,,,,,,,,,,,,,,,,,,,,
s180-gown,,,,,,,,,Ombre Sunset,,One Size,,,MS-S180SUN1SZ,,shopify,35,deny,manual,32.99,,TRUE,TRUE,671241128046.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S180SUN_1.jpg,g,,12.95,,,,,,,
s180-gown,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S180SUN_2.jpg,2,S180 Gown - Back View,,,,,,,,,,,,,,,,,,,,
s180-gown,,,,,,,,,Neon Turquoise,,One Size,,,MS-S180TUR1SZ,,shopify,183,deny,manual,27.99,,TRUE,TRUE,671241128039.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S180TUR_1.jpg,g,,9.95,,,,,,,
s180-gown,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S180TUR_2.jpg,2,S180 Gown - Back View,,,,,,,,,,,,,,,,,,,,
s181-half-sleeve-dress,S181 Half Sleeve Dress,"<p>From the Seamless collection by Magic Silk, this style includes: a soft and breathable half sleeve dress, underboob accent, and geometric designs. This stretchy style can conform to any body type and is extremely flattering!</p>",Magic Silk,Apparel & Accessories > Clothing > Lingerie,Lingerie,Lingerie,TRUE,Color,Neon Lime,Size,One Size,,,MS-S181LIM1SZ,,shopify,345,deny,manual,23.99,,TRUE,TRUE,671241128053.0,https://www.magicsilk.com/uploads/wholesale-images/S181LIM_1.jpg,1,S181 Half Sleeve Dress,FALSE,S181 Half Sleeve Dress,"From the Seamless collection by Magic Silk, this style includes: a soft and breathable half sleeve dress, underboob accent, and geometric designs. This stretchy style can conform to any body type and is extremely flattering!",Apparel & Accessories > Clothing > Lingerie,,,671241128053.0,new,TRUE,https://www.magicsilk.com/uploads/wholesale-images/S181LIM_1.jpg,g,,7.95,TRUE,,,TRUE,,,active
s181-half-sleeve-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S181LIM_2.jpg,2,S181 Half Sleeve Dress - Back View,,,,,,,,,,,,,,,,,,,,
s181-half-sleeve-dress,,,,,,,,,Ombre Sunset,,One Size,,,MS-S181SUN1SZ,,shopify,83,deny,manual,27.99,,TRUE,TRUE,671241128077.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S181SUN_1.jpg,g,,9.95,,,,,,,
s181-half-sleeve-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S181SUN_2.jpg,2,S181 Half Sleeve Dress - Back View,,,,,,,,,,,,,,,,,,,,
s181-half-sleeve-dress,,,,,,,,,Neon Turquoise,,One Size,,,MS-S181TUR1SZ,,shopify,200,deny,manual,23.99,,TRUE,TRUE,671241128060.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S181TUR_1.jpg,g,,7.95,,,,,,,
s181-half-sleeve-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S181TUR_2.jpg,2,S181 Half Sleeve Dress - Back View,,,,,,,,,,,,,,,,,,,,
s182-boy-short-teddy,S182 Boy Short Teddy,"<p>From the Seamless collection by Magic Silk, this style includes: a soft and breathable halter boy short teddy, with side and front cutout details, and a delicate back strap. This stretchy style can conform to any body type and is extremely flattering!</p>",Magic Silk,Apparel & Accessories > Clothing > Lingerie,Lingerie,Lingerie,TRUE,Color,Neon Lime,Size,One Size,,,MS-S182LIM1SZ,,shopify,332,deny,manual,23.99,,TRUE,TRUE,671241128084.0,https://www.magicsilk.com/uploads/wholesale-images/S182LIM_1.jpg,1,S182 Boy Short Teddy,FALSE,S182 Boy Short Teddy,"From the Seamless collection by Magic Silk, this style includes: a soft and breathable halter boy short teddy, with side and front cutout details, and a delicate back strap. This stretchy style can conform to any body type and is extremely flattering!",Apparel & Accessories > Clothing > Lingerie,,,671241128084.0,new,TRUE,https://www.magicsilk.com/uploads/wholesale-images/S182LIM_1.jpg,g,,7.95,TRUE,,,TRUE,,,active
s182-boy-short-teddy,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S182LIM_2.jpg,2,S182 Boy Short Teddy - Back View,,,,,,,,,,,,,,,,,,,,
s182-boy-short-teddy,,,,,,,,,Ombre Sunset,,One Size,,,MS-S182SUN1SZ,,shopify,166,deny,manual,25.99,,TRUE,TRUE,671241128107.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S182SUN_1.jpg,g,,8.95,,,,,,,
s182-boy-short-teddy,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S182SUN_2.jpg,2,S182 Boy Short Teddy - Back View,,,,,,,,,,,,,,,,,,,,
s182-boy-short-teddy,,,,,,,,,Neon Turquoise,,One Size,,,MS-S182TUR1SZ,,shopify,149,deny,manual,23.99,,TRUE,TRUE,671241128091.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S182TUR_1.jpg,g,,7.95,,,,,,,
s182-boy-short-teddy,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S182TUR_2.jpg,2,S182 Boy Short Teddy - Back View,,,,,,,,,,,,,,,,,,,,
s183-body-stocking,S183 Body Stocking,"<p>From the Seamless collection by Magic Silk, this style includes: a soft and breathable gartered catsuit, lace accent, criss cross shoulder strap and front cutout details. This stretchy style can conform to any body type and is extremely flattering!</p>",Magic Silk,Apparel & Accessories > Clothing > Lingerie,Lingerie,Lingerie,TRUE,Color,Neon Lime,Size,One Size,,,MS-S183LIM1SZ,,shopify,208,deny,manual,25.99,,TRUE,TRUE,671241128114.0,https://www.magicsilk.com/uploads/wholesale-images/S183LIM_1.jpg,1,S183 Body Stocking,FALSE,S183 Body Stocking,"From the Seamless collection by Magic Silk, this style includes: a soft and breathable gartered catsuit, lace accent, criss cross shoulder strap and front cutout details. This stretchy style can conform to any body type and is extremely flattering!",Apparel & Accessories > Clothing > Lingerie,,,671241128114.0,new,TRUE,https://www.magicsilk.com/uploads/wholesale-images/S183LIM_1.jpg,g,,8.95,TRUE,,,TRUE,,,active
s183-body-stocking,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S183LIM_2.jpg,2,S183 Body Stocking - Back View,,,,,,,,,,,,,,,,,,,,
s183-body-stocking,,,,,,,,,Ombre Sunset,,One Size,,,MS-S183SUN1SZ,,shopify,137,deny,manual,27.99,,TRUE,TRUE,671241128138.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S183SUN_1.jpg,g,,9.95,,,,,,,
s183-body-stocking,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S183SUN_2.jpg,2,S183 Body Stocking - Back View,,,,,,,,,,,,,,,,,,,,
s183-body-stocking,,,,,,,,,Neon Turquoise,,One Size,,,MS-S183TUR1SZ,,shopify,-86,deny,manual,25.99,,TRUE,TRUE,671241128121.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S183TUR_1.jpg,g,,8.95,,,,,,,
s183-body-stocking,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S183TUR_2.jpg,2,S183 Body Stocking - Back View,,,,,,,,,,,,,,,,,,,,
s184-long-sleeve-body-stocking,S184 Long Sleeve Body Stocking,"<p>From the Seamless collection by Magic Silk, this style includes: a soft and breathable mesh long sleeve body stocking. This stretchy style can conform to any body type and is extremely flattering!</p>",Magic Silk,Apparel & Accessories > Clothing > Lingerie,Lingerie,Lingerie,TRUE,Color,Neon Lime,Size,One Size,,,MS-S184LIM1SZ,,shopify,455,deny,manual,25.99,,TRUE,TRUE,671241128145.0,https://www.magicsilk.com/uploads/wholesale-images/S184LIM_1.jpg,1,S184 Long Sleeve Body Stocking,FALSE,S184 Long Sleeve Body Stocking,"From the Seamless collection by Magic Silk, this style includes: a soft and breathable mesh long sleeve body stocking. This stretchy style can conform to any body type and is extremely flattering!",Apparel & Accessories > Clothing > Lingerie,,,671241128145.0,new,TRUE,https://www.magicsilk.com/uploads/wholesale-images/S184LIM_1.jpg,g,,8.95,TRUE,,,TRUE,,,active
s184-long-sleeve-body-stocking,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S184LIM_2.jpg,2,S184 Long Sleeve Body Stocking - Back View,,,,,,,,,,,,,,,,,,,,
s184-long-sleeve-body-stocking,,,,,,,,,Ombre Sunset,,One Size,,,MS-S184SUN1SZ,,shopify,360,deny,manual,28.99,,TRUE,TRUE,671241128169.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S184SUN_1.jpg,g,,10.95,,,,,,,
s184-long-sleeve-body-stocking,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S184SUN_2.jpg,2,S184 Long Sleeve Body Stocking - Back View,,,,,,,,,,,,,,,,,,,,
s184-long-sleeve-body-stocking,,,,,,,,,Neon Turquoise,,One Size,,,MS-S184TUR1SZ,,shopify,396,deny,manual,25.99,,TRUE,TRUE,671241128152.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S184TUR_1.jpg,g,,8.95,,,,,,,
s184-long-sleeve-body-stocking,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/S184TUR_2.jpg,2,S184 Long Sleeve Body Stocking - Back View,,,,,,,,,,,,,,,,,,,,
w402-high-leg-high-waist-micro-tanga-w-wipes,W402 High Leg High Waist Micro Tanga w/ wipes,"<p>From the Magic Silk Panty and Sweetums collaboration collection, this style includes: a high waisted cheeky panty featuring star details and a high leg style. Paired with 2 packets of Pina Colada flavored Sweetums pH balanced intimate wipes</p>",Magic Silk,Apparel & Accessories > Clothing > Lingerie,Lingerie,Lingerie,TRUE,Color,Pineapple,Size,Queen,,,MS-W402YEL2XL,,shopify,82,deny,manual,20.99,,TRUE,TRUE,671241128657.0,https://www.magicsilk.com/uploads/wholesale-images/W402YEL2XL_1.jpg,1,W402 High Leg High Waist Micro Tanga w/ wipes,FALSE,W402 High Leg High Waist Micro Tanga w/ wipes,"From the Magic Silk Panty and Sweetums collaboration collection, this style includes: a high waisted cheeky panty featuring star details and a high leg style. Paired with 2 packets of Pina Colada flavored Sweetums pH balanced intimate wipes",Apparel & Accessories > Clothing > Lingerie,,,671241128657.0,new,TRUE,https://www.magicsilk.com/uploads/wholesale-images/W402YEL2XL_1.jpg,g,,5.95,TRUE,,,TRUE,,,active
w402-high-leg-high-waist-micro-tanga-w-wipes,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/W402YEL2XL_2.jpg,2,W402 High Leg High Waist Micro Tanga w/ wipes - Back View,,,,,,,,,,,,,,,,,,,,
w402-high-leg-high-waist-micro-tanga-w-wipes,,,,,,,,,Pineapple,,L/XL,,,MS-W402YELLRG,,shopify,181,deny,manual,18.99,,TRUE,TRUE,671241128640.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/W402YEL_1.jpg,g,,4.95,,,,,,,
w402-high-leg-high-waist-micro-tanga-w-wipes,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/W402YEL_2.jpg,2,W402 High Leg High Waist Micro Tanga w/ wipes - Back View,,,,,,,,,,,,,,,,,,,,
w402-high-leg-high-waist-micro-tanga-w-wipes,,,,,,,,,Pineapple,,S/M,,,MS-W402YELMED,,shopify,198,deny,manual,18.99,,TRUE,TRUE,671241128633.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/W402YEL_1.jpg,g,,4.95,,,,,,,
w402-high-leg-high-waist-micro-tanga-w-wipes,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/W402YEL_2.jpg,2,W402 High Leg High Waist Micro Tanga w/ wipes - Back View,,,,,,,,,,,,,,,,,,,,
w403-skirted-hipster-w-open-crotch-panty-w-wipes,W403 Skirted Hipster w/ Open Crotch Panty w/ wipes,"<p>From the Magic Silk Panty and Sweetums collaboration collection, this style includes: a mesh hipster with star designs and ruffles, and an open crotch. Paired with 2 packets of Pina Colada flavored Sweetums pH balanced intimate wipes</p>",Magic Silk,Apparel & Accessories > Clothing > Lingerie,Lingerie,Lingerie,TRUE,Color,Pineapple,Size,Queen,,,MS-W403YEL2XL,,shopify,80,deny,manual,23.99,,TRUE,TRUE,671241128688.0,https://www.magicsilk.com/uploads/wholesale-images/W403YEL2XL_1.jpg,1,W403 Skirted Hipster w/ Open Crotch Panty w/ wipes,FALSE,W403 Skirted Hipster w/ Open Crotch Panty w/ wipes,"From the Magic Silk Panty and Sweetums collaboration collection, this style includes: a mesh hipster with star designs and ruffles, and an open crotch. Paired with 2 packets of Pina Colada flavored Sweetums pH balanced intimate wipes",Apparel & Accessories > Clothing > Lingerie,,,671241128688.0,new,TRUE,https://www.magicsilk.com/uploads/wholesale-images/W403YEL2XL_1.jpg,g,,7.95,TRUE,,,TRUE,,,active
w403-skirted-hipster-w-open-crotch-panty-w-wipes,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/W403YEL2XL_2.jpg,2,W403 Skirted Hipster w/ Open Crotch Panty w/ wipes - Back View,,,,,,,,,,,,,,,,,,,,
w403-skirted-hipster-w-open-crotch-panty-w-wipes,,,,,,,,,Pineapple,,L/XL,,,MS-W403YELLRG,,shopify,170,deny,manual,22.99,,TRUE,TRUE,671241128671.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/W403YEL_1.jpg,g,,6.95,,,,,,,
w403-skirted-hipster-w-open-crotch-panty-w-wipes,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/W403YEL_2.jpg,2,W403 Skirted Hipster w/ Open Crotch Panty w/ wipes - Back View,,,,,,,,,,,,,,,,,,,,
w403-skirted-hipster-w-open-crotch-panty-w-wipes,,,,,,,,,Pineapple,,S/M,,,MS-W403YELMED,,shopify,196,deny,manual,22.99,,TRUE,TRUE,671241128664.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/W403YEL_1.jpg,g,,6.95,,,,,,,
w403-skirted-hipster-w-open-crotch-panty-w-wipes,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/W403YEL_2.jpg,2,W403 Skirted Hipster w/ Open Crotch Panty w/ wipes - Back View,,,,,,,,,,,,,,,,,,,,
w410-lace-thong-w-wipes,W410 Lace Thong w/ wipes,"<p>From the Magic Silk Panty and Sweetums collaboration collection, this style includes: a thong featuring floral mesh, lace trim and elastic straps. Paired with 2 packets of Mint flavored Sweetums pH balanced intimate wipes</p>",Magic Silk,Apparel & Accessories > Clothing > Lingerie,Lingerie,Lingerie,TRUE,Color,Mint,Size,Queen,,,MS-W410MIN2XL,,shopify,10,deny,manual,20.99,,TRUE,TRUE,671241128718.0,https://www.magicsilk.com/uploads/wholesale-images/W410MIN2XL_1.jpg,1,W410 Lace Thong w/ wipes,FALSE,W410 Lace Thong w/ wipes,"From the Magic Silk Panty and Sweetums collaboration collection, this style includes: a thong featuring floral mesh, lace trim and elastic straps. Paired with 2 packets of Mint flavored Sweetums pH balanced intimate wipes",Apparel & Accessories > Clothing > Lingerie,,,671241128718.0,new,TRUE,https://www.magicsilk.com/uploads/wholesale-images/W410MIN2XL_1.jpg,g,,5.95,TRUE,,,TRUE,,,active
w410-lace-thong-w-wipes,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/W410MIN2XL_2.jpg,2,W410 Lace Thong w/ wipes - Back View,,,,,,,,,,,,,,,,,,,,
w410-lace-thong-w-wipes,,,,,,,,,Mint,,L/XL,,,MS-W410MINLRG,,shopify,0,deny,manual,18.99,,TRUE,TRUE,671241128701.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/W410MIN_1.jpg,g,,4.95,,,,,,,
w410-lace-thong-w-wipes,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/W410MIN_2.jpg,2,W410 Lace Thong w/ wipes - Back View,,,,,,,,,,,,,,,,,,,,
w410-lace-thong-w-wipes,,,,,,,,,Mint,,S/M,,,MS-W410MINMED,,shopify,-8,deny,manual,18.99,,TRUE,TRUE,671241128695.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/W410MIN_1.jpg,g,,4.95,,,,,,,
w410-lace-thong-w-wipes,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/W410MIN_2.jpg,2,W410 Lace Thong w/ wipes - Back View,,,,,,,,,,,,,,,,,,,,
w411-crotchless-panty-w-wipes,W411 Crotchless Panty w/ wipes,"<p>From the Magic Silk Panty and Sweetums collaboration collection, this style includes: a cheeky panty featuring floral mesh, lace on the inner trims, and a crotchless cutout. Paired with 2 packets of Mint flavored Sweetums pH balanced intimate wipes</p>",Magic Silk,Apparel & Accessories > Clothing > Lingerie,Lingerie,Lingerie,TRUE,Color,Mint,Size,Queen,,,MS-W411MIN2XL,,shopify,32,deny,manual,22.99,,TRUE,TRUE,671241128749.0,https://www.magicsilk.com/uploads/wholesale-images/W411MIN2XL_1.jpg,1,W411 Crotchless Panty w/ wipes,FALSE,W411 Crotchless Panty w/ wipes,"From the Magic Silk Panty and Sweetums collaboration collection, this style includes: a cheeky panty featuring floral mesh, lace on the inner trims, and a crotchless cutout. Paired with 2 packets of Mint flavored Sweetums pH balanced intimate wipes",Apparel & Accessories > Clothing > Lingerie,,,671241128749.0,new,TRUE,https://www.magicsilk.com/uploads/wholesale-images/W411MIN2XL_1.jpg,g,,6.95,TRUE,,,TRUE,,,active
w411-crotchless-panty-w-wipes,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/W411MIN2XL_2.jpg,2,W411 Crotchless Panty w/ wipes - Back View,,,,,,,,,,,,,,,,,,,,
w411-crotchless-panty-w-wipes,,,,,,,,,Mint,,L/XL,,,MS-W411MINLRG,,shopify,18,deny,manual,20.99,,TRUE,TRUE,671241128732.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/W411MIN_1.jpg,g,,5.95,,,,,,,
w411-crotchless-panty-w-wipes,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/W411MIN_2.jpg,2,W411 Crotchless Panty w/ wipes - Back View,,,,,,,,,,,,,,,,,,,,
w411-crotchless-panty-w-wipes,,,,,,,,,Mint,,S/M,,,MS-W411MINMED,,shopify,-2,deny,manual,20.99,,TRUE,TRUE,671241128725.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/W411MIN_1.jpg,g,,5.95,,,,,,,
w411-crotchless-panty-w-wipes,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/W411MIN_2.jpg,2,W411 Crotchless Panty w/ wipes - Back View,,,,,,,,,,,,,,,,,,,,
w416-cheeky-hipster-boy-short-w-wipes,W416 Cheeky Hipster Boy Short w/ wipes,"<p>From the Magic Silk Panty and Sweetums collaboration collection, this style includes: A mesh boy short featuring lace trimming and a satin bow tie. Paired with 2 packets of Grape flavored Sweetums pH balanced intimate wipes</p>",Magic Silk,Apparel & Accessories > Clothing > Lingerie,Lingerie,Lingerie,TRUE,Color,Grape,Size,Queen,,,MS-W416GRA2XL,,shopify,112,deny,manual,22.99,,TRUE,TRUE,671241128770.0,https://www.magicsilk.com/uploads/wholesale-images/W416GRA2XL_1.jpg,1,W416 Cheeky Hipster Boy Short w/ wipes,FALSE,W416 Cheeky Hipster Boy Short w/ wipes,"From the Magic Silk Panty and Sweetums collaboration collection, this style includes: A mesh boy short featuring lace trimming and a satin bow tie. Paired with 2 packets of Grape flavored Sweetums pH balanced intimate wipes",Apparel & Accessories > Clothing > Lingerie,,,671241128770.0,new,TRUE,https://www.magicsilk.com/uploads/wholesale-images/W416GRA2XL_1.jpg,g,,6.95,TRUE,,,TRUE,,,active
w416-cheeky-hipster-boy-short-w-wipes,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/W416GRA2XL_2.jpg,2,W416 Cheeky Hipster Boy Short w/ wipes - Back View,,,,,,,,,,,,,,,,,,,,
w416-cheeky-hipster-boy-short-w-wipes,,,,,,,,,Grape,,L/XL,,,MS-W416GRALRG,,shopify,125,deny,manual,20.99,,TRUE,TRUE,671241128763.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/W416GRA_1.jpg,g,,5.95,,,,,,,
w416-cheeky-hipster-boy-short-w-wipes,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/W416GRA_2.jpg,2,W416 Cheeky Hipster Boy Short w/ wipes - Back View,,,,,,,,,,,,,,,,,,,,
w416-cheeky-hipster-boy-short-w-wipes,,,,,,,,,Grape,,S/M,,,MS-W416GRAMED,,shopify,104,deny,manual,20.99,,TRUE,TRUE,671241128756.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/W416GRA_1.jpg,g,,5.95,,,,,,,
w416-cheeky-hipster-boy-short-w-wipes,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/W416GRA_2.jpg,2,W416 Cheeky Hipster Boy Short w/ wipes - Back View,,,,,,,,,,,,,,,,,,,,
